bucket,strategy,entry_time,exit_time,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,result,close_reason,r_multiple,allocated_r,pnl_pct,confidence,flow_alignment,structure_strength,clarity_confidence,volume_z_15m,oi_delta_z_15m,market_pressure_4h,entry_type,token_intent_state,token_intent_positioning_side,token_intent_entry_permission,token_intent_entry_quality,token_intent_crowding_score,token_intent_distribution_score,token_intent_failed_pullback_score
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-02T19:57:41.745591+00:00,2026-05-03T03:57:37.253056+00:00,OPUSDT,4h,Continuation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.6412,-2.31886943,0.8851,0.9049,1.0,0.8851,-0.43056334,-0.64275687,0.19951258,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-04T07:56:19.032460+00:00,2026-05-04T11:55:39.133173+00:00,DASHUSDT,4h,Continuation,Bullish,Trending,Low,loss,Invalidation,-1.0,-1.215,-5.56492041,0.9116,1.0,1.0,0.9116,-0.84575569,0.74129292,0.89442615,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-06T07:55:13.090955+00:00,2026-05-06T23:59:59.999000+00:00,XMRUSDT,4h,Continuation,Bullish,Trending,Low,loss,Invalidation,-1.0,-1.189,-3.84816701,0.8609,0.9139,0.85,0.8609,4.52126631,-0.40596894,0.67302645,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-06T11:55:01.116463+00:00,2026-05-06T15:59:43.873392+00:00,1000SHIBUSDT,4h,Continuation,Bullish,Balanced,High,loss,Invalidation,-1.0,-1.2825,-1.93770751,0.9075,0.9813,1.0,0.9075,-0.46015969,-1.15615051,0.55483381,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-06T11:55:01.116463+00:00,2026-05-07T03:59:59.999000+00:00,APTUSDT,4h,Continuation,Bullish,Trending,High,loss,Invalidation,-1.0,-1.2825,-3.52339322,0.9035,0.9482,1.0,0.9035,-0.85504463,-0.70160242,0.48419526,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-06T15:29:12.604206+00:00,2026-05-06T15:44:28.944412+00:00,ARBUSDT,15m,Continuation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.4375,-0.88925981,0.8078,0.6607,0.85,0.8078,0.5702266,1.60384903,0.4073256,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-06T19:59:28.691762+00:00,2026-05-07T03:10:29.000794+00:00,SAHARAUSDT,4h,Continuation,Bullish,Trending,High,loss,Invalidation,-1.0,-1.2763,-2.90751793,0.8861,0.9863,0.85,0.8861,3.98087663,-6.18658501,0.84892108,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T11:57:30.638358+00:00,2026-05-06T07:55:13.090955+00:00,NEIROUSDT,4h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.97754809,-1.25370543,-5.9166991,0.9124,1.0,1.0,0.9124,-0.5942971,0.86267354,0.89945533,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T03:58:33.152255+00:00,2026-05-05T23:56:05.661486+00:00,TIAUSDT,4h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.52010178,-0.66703053,-1.98477433,0.911,0.9969,1.0,0.911,-0.44292277,-0.46220812,0.67832854,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-04T15:54:57.016289+00:00,2026-05-05T07:57:56.784684+00:00,MEGAUSDT,4h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.45745546,-0.52552483,-3.39061062,0.8474,0.7891,0.85,0.8474,-0.27619175,0.14547784,0.88666006,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-01T19:59:39.925076+00:00,2026-05-03T23:57:49.029653+00:00,KITEUSDT,4h,Continuation,Bullish,Trending,High,loss,Fail-Fast Exit,-0.34797441,-0.44627719,-1.37290531,0.8837,0.8516,1.0,0.8837,-0.69163332,-0.14051791,0.46232692,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-04T17:11:29.731038+00:00,2026-05-04T18:27:51.765981+00:00,VIRTUALUSDT,15m,Continuation,Bullish,Balanced,Medium,loss,Fail-Fast Exit,-0.34346667,-0.15586517,-0.30765115,0.802,0.6511,0.85,0.802,0.57571364,0.96307833,-0.16757129,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T23:56:05.661486+00:00,2026-05-06T15:59:43.873392+00:00,ZENUSDT,4h,Continuation,Bullish,Trending,Medium,loss,Fail-Fast Exit,-0.07923033,-0.10696095,-0.52707867,0.8997,0.987,1.0,0.8997,-0.34933901,0.6037017,0.64467573,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-04-30T16:43:34.403083+00:00,2026-04-30T18:25:22.677645+00:00,APEUSDT,15m,Continuation,Bullish,Balanced,High,win,Partial TP1,0.495,0.2915055,0.79032295,0.8443,0.8093,0.85,0.8443,4.33080778,0.8078266,0.0,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T15:57:04.871242+00:00,2026-05-07T03:59:59.999000+00:00,MONUSDT,4h,Continuation,Bullish,Trending,High,win,Partial TP1,0.495,0.6348375,2.18253968,0.9092,0.9838,1.0,0.9092,-0.35508008,-0.92782821,0.68443225,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T15:57:04.871242+00:00,2026-05-06T03:55:43.155623+00:00,SUIUSDT,4h,Continuation,Bullish,Balanced,High,win,Partial TP1,0.495,0.6348375,1.12308336,0.8785,0.8676,1.0,0.8785,-0.65552877,-1.93562206,0.29973858,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-06T03:25:04.361159+00:00,2026-05-06T03:40:28.330266+00:00,WIFUSDT,15m,Continuation,Bullish,Balanced,High,win,Partial TP1,0.495,0.5959305,0.76623837,0.8822,0.8233,0.85,0.8822,1.30548566,1.12944669,0.26200212,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T15:57:04.871242+00:00,2026-05-06T15:59:43.873392+00:00,TRUMPUSDT,4h,Continuation,Bullish,Balanced,Medium,win,Partial TP1,0.535,0.706735,1.28804053,0.8525,0.9195,0.85,0.8525,-0.68226987,-0.58421521,0.39905525,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-06T03:59:59.999000+00:00,2026-05-06T07:59:59.999000+00:00,VVVUSDT,4h,Continuation,Bullish,Trending,Medium,win,Partial TP1,0.535,0.706949,2.42356896,0.8642,0.913,0.85,0.8642,0.79559393,0.66946672,0.26848963,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-03T07:59:59.999000+00:00,2026-05-03T11:59:59.999000+00:00,AKTUSDT,4h,Continuation,Bullish,Trending,High,win,Partial TP1,0.545,0.6989625,2.993176,0.9001,0.9432,1.0,0.9001,-0.83503132,-0.20253982,0.52135436,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-03T15:57:40.593970+00:00,2026-05-04T11:55:39.133173+00:00,ZECUSDT,4h,Continuation,Bullish,Trending,Low,win,Continuation Trail Stop,0.56478622,0.68621526,1.97093384,0.9047,0.9584,1.0,0.9047,0.20724346,2.26113841,0.74462916,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T07:57:56.784684+00:00,2026-05-06T15:59:43.873392+00:00,HYPEUSDT,4h,Continuation,Bullish,Balanced,Low,win,Continuation Trail Stop,0.61857297,0.75156616,1.4153856,0.905,0.9635,1.0,0.905,-0.28856569,0.21409245,0.62270549,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-02T15:57:49.843339+00:00,2026-05-03T03:57:37.253056+00:00,PIEVERSEUSDT,4h,Continuation,Bullish,Trending,High,win,Target 2,1.495,1.9173375,6.00823268,0.8906,0.9212,1.0,0.8906,0.5841653,-0.56698014,0.44970244,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-03T15:57:40.593970+00:00,2026-05-04T19:59:30.855080+00:00,WLFIUSDT,4h,Continuation,Bullish,Trending,High,win,Target 2,1.495,1.8970055,7.69187976,0.8761,0.9618,0.85,0.8761,-0.37369089,0.44979637,0.39698658,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T11:57:30.638358+00:00,2026-05-06T11:55:01.116463+00:00,ENAUSDT,4h,Continuation,Bullish,Trending,High,win,Target 2,1.495,0.872482,6.16775246,0.8393,0.8026,0.85,0.8393,-0.68151906,0.2668522,0.37024189,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T11:57:30.638358+00:00,2026-05-06T03:55:43.155623+00:00,TONUSDT,4h,Continuation,Bullish,Trending,High,win,Target 2,1.495,0.925405,8.23530776,0.8481,0.8503,0.85,0.8481,-0.75086547,-0.5393975,0.14532848,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T23:56:05.661486+00:00,2026-05-06T11:55:01.116463+00:00,PUMPUSDT,4h,Continuation,Bullish,Trending,High,win,Target 2,1.495,1.8835505,4.06062182,0.8718,0.927,0.85,0.8718,-0.82266304,0.05980527,0.38167194,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-04T14:28:20.115867+00:00,2026-05-04T14:58:53.679471+00:00,LDOUSDT,15m,Continuation,Bullish,Ranging,Medium,win,Target 2,1.535,0.7169985,0.83942074,0.7938,0.6721,0.85,0.7938,0.63275411,1.10694268,-0.54365482,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T19:56:33.485172+00:00,2026-05-05T23:56:05.661486+00:00,ICPUSDT,4h,Continuation,Bullish,Trending,Medium,win,Target 2,1.535,2.058128,4.9275786,0.8689,0.9871,0.85,0.8689,0.42208888,0.00513849,0.41052022,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
removed_by_fix,v2_continuation_15m_4h_bullish_only,2026-05-05T11:59:59.999000+00:00,2026-05-05T15:59:59.999000+00:00,SNDKUSDT,4h,Continuation,Bullish,Trending,Low,win,Target 2,1.56,0.930384,5.31220027,0.8781,0.8317,1.0,0.8781,-0.96440871,-0.39177738,0.03326802,Continuation Pullback,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0
